  7.17256828  -0.72650544  -0.72650544  -1.49738546  -1.49738546   1.51358936   1.51358936   0.09527760   0.09527760   0.56718131   0.56718131  -0.60940882  -0.60940882  -0.38829230  -0.38829230  -0.19069116  -0.19069116   0.08110493   0.08110493   0.26929490   0.26929490  -0.07056011  -0.07056011  -0.00090547  -0.00090547  -0.13270251  -0.13270251   0.24344004   0.24344004  -0.27250344  -0.27250344   0.24143516   0.24143516   0.17831559   0.17831559   0.19908148   0.19908148   0.13934837   0.13934837  -0.15925240  -0.15925240 
  7.17256783  -0.67431075  -0.67431075  -1.51233591  -1.51233591   1.49623137   1.49623137   0.01312853   0.01312853   0.49683693   0.49683693  -0.56990650  -0.56990650  -0.32041874  -0.32041874  -0.26707140  -0.26707140  -0.00131113  -0.00131113   0.19215184   0.19215184   0.01767291   0.01767291  -0.07901817  -0.07901817  -0.05970788  -0.05970788   0.18544308   0.18544308  -0.24103369  -0.24103369   0.22518931   0.22518931   0.19324398   0.19324398   0.20175832   0.20175832   0.17161122   0.17161122  -0.16572383  -0.16572383 
  7.17256737  -0.62189258  -0.62189258  -1.52526162  -1.52526162   1.47436367   1.47436367  -0.06907047  -0.06907047   0.42232239   0.42232239  -0.52353949  -0.52353949  -0.24727584  -0.24727584  -0.33773666  -0.33773666  -0.08366980  -0.08366980   0.10860891   0.10860891   0.10516589   0.10516589  -0.15332846  -0.15332846   0.01665702   0.01665702   0.11534620   0.11534620  -0.19151345  -0.19151345   0.18978600   0.18978600   0.18733278   0.18733278   0.18503850   0.18503850   0.18326314   0.18326314  -0.15023575  -0.15023575 
  7.17256692  -0.56926845  -0.56926845  -1.53614540  -1.53614540   1.44805336   1.44805336  -0.15087744  -0.15087744   0.34426239   0.34426239  -0.47086929  -0.47086929  -0.17006674  -0.17006674  -0.40117233  -0.40117233  -0.16373792  -0.16373792   0.02145758   0.02145758   0.18837230   0.18837230  -0.22026133  -0.22026133   0.09208491   0.09208491   0.03773341   0.03773341  -0.12765441  -0.12765441   0.13824732   0.13824732   0.16122662   0.16122662   0.15055334   0.15055334   0.17291759   0.17291759  -0.11484872  -0.11484872 
  7.17256647  -0.51645594  -0.51645594  -1.54497278  -1.54497278   1.41738093   1.41738093  -0.23185265  -0.23185265   0.26331135   0.26331135  -0.41253326  -0.41253326  -0.09006146  -0.09006146  -0.45601854  -0.45601854  -0.23934506  -0.23934506  -0.06639083  -0.06639083   0.26392032   0.26392032  -0.27659673  -0.27659673   0.16232117   0.16232117  -0.04232155  -0.04232155  -0.05424180  -0.05424180   0.07496713   0.07496713   0.11774718   0.11774718   0.10163975   0.10163975   0.14182843   0.14182843  -0.06425896  -0.06425896 
  7.17256602  -0.46347269  -0.46347269  -1.55173206  -1.55173206   1.38244002   1.38244002  -0.31156096  -0.31156096   0.18014799   0.18014799  -0.34923693  -0.34923693  -0.00857598  -0.00857598  -0.50109937  -0.50109937  -0.30844230  -0.30844230  -0.15200233  -0.15200233   0.32874949   0.32874949  -0.31962450  -0.31962450   0.22340390   0.22340390  -0.11958689  -0.11958689   0.02322416   0.02322416   0.00533652   0.00533652   0.06158825   0.06158825   0.04301739   0.04301739   0.09373794   0.09373794  -0.00517507  -0.00517507 
  7.17256557  -0.41033642  -0.41033642  -1.55641431  -1.55641431   1.34333711   1.34333711  -0.38957414  -0.38957414   0.09546962   0.09546962  -0.28174550  -0.28174550   0.07304939   0.07304939  -0.53544797  -0.53544797  -0.36915781  -0.36915781  -0.23251834  -0.23251834   0.38023468   0.38023468  -0.34727471  -0.34727471   0.27188739   0.27188739  -0.18901469  -0.18901469   0.09894036   0.09894036  -0.06471548  -0.06471548  -0.00119103  -0.00119103  -0.01966675  -0.01966675   0.03442641   0.03442641   0.05457153   0.05457153 
  7.17256512  -0.35706487  -0.35706487  -1.55901336  -1.55901336   1.30019123   1.30019123  -0.46547320  -0.46547320   0.00998626   0.00998626  -0.21087454  -0.21087454   0.15347205   0.15347205  -0.55832737  -0.55832737  -0.41984748  -0.41984748  -0.30525106  -0.30525106   0.41629240   0.41629240  -0.35821729  -0.35821729   0.30503648   0.30503648  -0.24607068  -0.24607068   0.16723552   0.16723552  -0.12922678  -0.12922678  -0.06381986  -0.06381986  -0.08038232  -0.08038232  -0.02898265  -0.02898265   0.10706466   0.10706466 
  7.17256467  -0.30367585  -0.30367585  -1.55952586  -1.55952586   1.25313355   1.25313355  -0.53885060  -0.53885060  -0.07558523  -0.07558523  -0.13748016  -0.13748016   0.23136920   0.23136920  -0.56924627  -0.56924627  -0.45913953  -0.45913953  -0.36777323  -0.36777323   0.43546510   0.43546510  -0.35192598  -0.35192598   0.32098084   0.32098084  -0.28703037  -0.28703037   0.22299495   0.22299495  -0.18270966  -0.18270966  -0.11954605  -0.11954605  -0.13329569  -0.13329569  -0.08887809  -0.08887809   0.14535225   0.14535225 
  7.17256422  -0.25018719  -0.25018719  -1.55795121  -1.55795121   1.20230704   1.20230704  -0.60931246  -0.60931246  -0.16052727  -0.16052727  -0.06244866  -0.06244866   0.30545963   0.30545963  -0.56796960  -0.56796960  -0.48597158  -0.48597158  -0.41799914  -0.41799914   0.43698008   0.43698008  -0.32870365  -0.32870365   0.31882057   0.31882057  -0.30922220  -0.30922220   0.26204366   0.26204366  -0.22061756  -0.22061756  -0.16236398  -0.16236398  -0.17333048  -0.17333048  -0.13807466  -0.13807466   0.16436703   0.16436703 
